sugars_100g,fat_100g,salt_100g,fiber_100g,fruit_veg_100g,additives_n,proteins_100g,carbohydrates_100g,target,is_empty_calories,is_hidden_sodium,is_hyper_processed,is_low_fat_sugar_trap,is_hyperpalatable,violates_expectations,is_functionally_inconsistent,is_ultra_processed_combo,symbolic_score
0.0,26.67,1.778,3.3,0.0,2.0,10.0,63.33,1,0,1,0,0,0,0,0,0,3
44.83,24.14,0.7874,3.4,0.0,3.0,3.45,68.97,1,0,0,0,0,0,0,0,0,0
22.03,3.39,0.19304,0.0,0.0,2.0,3.39,32.2,1,1,0,0,0,0,0,0,0,0
0.2,15.4,0.9,0.0,0.0,0.0,5.8,13.9,1,0,0,0,0,0,0,0,0,0
26.0,33.0,0.0127,22.5,0.0,1.0,6.5,34.0,1,0,0,0,0,0,0,0,0,0
2.8,6.9,0.0,0.0,0.0,0.0,12.2,16.2,0,0,0,0,0,0,0,0,0,0
9.09,2.02,0.10922,1.0,0.0,3.0,2.53,11.62,0,0,0,0,0,0,0,0,0,0
0.5,3.9,0.4,3.1,0.0,1.0,2.2,23.2,0,0,0,0,0,0,0,0,0,0
11.5,3.4,0.11,0.0,0.0,5.0,3.18,13.6,1,0,0,1,0,0,0,0,0,0
0.9,26.6,1.4,0.5,0.0,0.0,16.0,1.3,1,0,0,0,0,0,0,0,0,0
26.0,0.0,0.25,1.3,0.0,0.0,1.8,0.0,1,1,0,0,1,0,0,0,0,7
12.5,0.0,0.0381,0.0,0.0,1.0,0.0,12.5,0,0,0,0,0,0,0,0,0,0
4.8,4.0,0.83312,1.6,0.0,0.0,2.4,8.0,0,0,0,0,0,0,0,0,0,0
8.75,0.0,0.01016,0.0,0.0,2.0,0.0,9.17,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0
3.33,0.0,1.524,3.3,0.0,0.0,0.0,3.33,0,0,1,0,0,0,0,0,0,3
33.33,30.0,0.0,3.3,0.0,1.0,10.0,46.67,1,0,0,0,0,0,0,0,0,0
53.57,5.36,0.9525,3.6,0.0,1.0,3.57,78.57,1,0,0,0,0,0,0,0,0,0
2.4,11.0,1.0,7.2,0.0,1.0,15.0,5.1,0,0,0,0,0,0,0,0,0,0
11.2,1.8,0.1,0.0,0.0,4.0,2.0,11.5,0,0,0,1,0,0,0,0,0,0
86.36,0.0,1.1557,0.0,0.0,7.0,9.09,86.36,1,1,0,1,1,0,0,0,0,11
5.4,0.0,0.7,2.12,0.0,0.0,1.3,0.0,0,0,0,0,0,0,0,0,0,0
6.38,3.19,1.18872,2.1,0.0,2.0,8.51,48.94,0,0,0,0,0,0,0,0,0,0
6.67,26.67,2.032,0.0,0.0,11.0,3.33,23.33,1,0,1,1,0,0,0,0,0,0
0.88,0.44,1.0795,5.3,0.0,0.0,6.19,17.7,0,0,0,0,0,0,0,0,0,0
5.0,0.0,0.91,0.71,0.0,0.0,8.57,0.0,1,0,0,0,0,0,0,0,0,0
0.8,0.4,0.762,5.1,0.0,0.0,6.3,11.2,0,0,0,0,0,0,0,0,0,0
21.88,0.0,0.07874,2.1,0.0,1.0,2.08,26.04,0,1,0,0,1,0,0,0,0,7
0.0,0.0,0.49784,0.0,0.0,5.0,10.87,2.17,0,0,0,1,0,0,0,0,0,4
2.0,28.7,2.43,0.0,0.0,0.0,14.0,44.8,1,0,1,0,0,0,0,0,0,0
6.67,3.33,1.44018,6.7,0.0,0.0,13.33,60.0,0,0,0,0,0,0,0,0,0,0
14.71,0.0,0.1651,0.0,0.0,1.0,7.06,15.88,0,0,0,0,0,0,0,0,0,0
7.14,0.36,0.0,4.3,0.0,0.0,0.71,12.14,0,0,0,0,0,0,0,0,0,0
0.0,3.68,1.27,8.8,0.0,0.0,7.35,32.35,0,0,0,0,0,0,0,0,0,0
36.84,11.84,1.40462,0.0,0.0,5.0,5.26,68.42,1,1,0,1,0,0,0,0,0,0
0.0,28.57,2.17678,0.0,0.0,0.0,23.81,4.76,1,0,1,0,0,0,0,0,0,3
8.82,0.0,0.25146,0.0,0.0,0.0,6.62,9.56,0,0,0,0,0,0,0,0,0,0
5.88,0.0,0.0,2.4,0.0,0.0,1.18,8.24,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.762,2.0,0.0,2.0,7.0,32.0,0,0,0,0,0,0,0,0,0,0
1.7,9.0,1.4,1.6,0.0,0.0,11.0,27.3,1,0,0,0,0,0,0,0,0,0
33.33,23.33,0.0,6.7,0.0,0.0,13.33,46.67,1,0,0,0,0,0,0,0,0,0
29.0,21.0,0.309999999999999,1.8,0.0,2.0,5.9,59.0,1,1,0,0,0,0,0,0,0,0
0.0,0.8,0.05,0.8,0.0,0.0,7.1,80.0,0,0,0,0,0,0,0,0,0,0
30.0,8.1,0.0,24.0,0.0,0.0,7.1,63.0,1,0,0,0,0,0,0,0,0,0
